,Unnamed: 0,# Observatory, Frequency (GHz), MJD, Flux (Jy), Fluxerr (Jy)
0,0,UMRAO,4.8,44500.7772,1.1450381984472455,0.19
1,1,UMRAO,4.8,44505.7508,1.1950381984472456,0.16
2,2,UMRAO,4.8,44586.5599,1.1350381984472455,0.19
3,3,UMRAO,4.8,44590.552,1.0750381984472457,0.2
4,4,UMRAO,4.8,44600.5092,1.0450381984472454,0.18
5,5,UMRAO,4.8,44624.492,1.0850381984472457,0.19
6,6,UMRAO,4.8,44638.401,1.1050381984472455,0.14
7,7,UMRAO,4.8,44651.4077,1.1550381984472455,0.2
8,8,UMRAO,4.8,44665.3926,1.0750381984472457,0.17
9,9,UMRAO,4.8,44698.332,0.8050381984472456,0.13
10,10,UMRAO,4.8,44699.2486,0.9850381984472456,0.2
11,11,UMRAO,4.8,44711.2083,1.1250381984472455,0.12
12,12,UMRAO,4.8,44720.170999999995,1.1550381984472455,0.16
13,13,UMRAO,4.8,44725.2018,1.1650381984472455,0.19
14,14,UMRAO,4.8,44740.1694,1.2050381984472456,0.2
15,15,UMRAO,4.8,44748.1816,1.1750381984472456,0.19
16,16,UMRAO,4.8,44780.0968,0.9950381984472456,0.2
17,17,UMRAO,4.8,44814.9973,1.0650381984472457,0.19
18,18,UMRAO,4.8,44822.8959,1.1550381984472455,0.15
19,19,UMRAO,4.8,44829.96,1.1850381984472456,0.19
20,20,UMRAO,4.8,44849.9274,1.0150381984472456,0.19
21,21,UMRAO,4.8,44921.7052,1.2150381984472456,0.2
22,22,UMRAO,4.8,44950.6356,1.0850381984472457,0.17
23,23,UMRAO,4.8,44985.574,1.1550381984472455,0.14
24,24,UMRAO,4.8,45014.4759,1.1050381984472455,0.1
25,25,UMRAO,4.8,45015.4989,1.0950381984472457,0.07
26,26,UMRAO,4.8,45022.4512,1.0150381984472456,0.14
27,27,UMRAO,4.8,45044.3637,1.0450381984472454,0.19
28,28,UMRAO,4.8,45069.3151,0.9550381984472456,0.18
29,29,UMRAO,4.8,45070.3408,0.9650381984472456,0.11
30,30,UMRAO,4.8,45079.2692,0.9250381984472456,0.19
31,31,UMRAO,4.8,45113.1723,0.9650381984472456,0.17
32,32,UMRAO,4.8,45114.1876,0.9350381984472456,0.14
33,33,UMRAO,4.8,45129.138,0.8250381984472456,0.19
34,34,UMRAO,4.8,45149.1571,0.8850381984472455,0.17
35,35,UMRAO,4.8,45183.9746,1.0950381984472457,0.19
36,36,UMRAO,4.8,45197.9718,1.2250381984472456,0.16
37,37,UMRAO,4.8,45229.8462,1.0150381984472456,0.19
